timestamp,machine_id,plant,production_line,temperature_C,vibration_mm_s,pressure_bar,rpm,current_A,voltage_V,oil_level_pct,noise_dB,humidity_pct,coolant_temp_C,fault_code,sensor_status
2024-01-01 00:00:20,MCH-039,Plant-A,LINE-1,65.7,0.837,4.95,1221,10.84,408.4,77.0,75.4,77.0,42.27,NONE,OK
2024-01-01 00:00:33,MCH-029,Plant-A,LINE-6,84.48,2.275,6.81,1447,11.47,407.9,98.7,67.7,67.7,24.15,F001,OK
2024-01-01 00:01:00,MCH-015,Plant-B,LINE-3,74.48,1.171,5.23,1497,16.12,400.8,38.1,74.2,59.4,29.5,NONE,OK
2024-01-01 00:01:53,MCH-043,Plant-C,LINE-3,70.75,1.92,8.12,1482,14.38,381.8,92.4,77.2,46.2,39.25,NONE,OK
2024-01-01 00:02:08,MCH-008,Plant-A,LINE-7,95.14,1.52,6.97,1451,14.2,391.3,64.7,76.1,71.3,36.73,NONE,OK
2024-01-01 00:02:37,MCH-021,Plant-C,LINE-1,89.75,3.267,4.26,1689,14.98,392.3,35.0,59.9,65.2,48.52,F001,OK
2024-01-01 00:03:07,MCH-039,Plant-A,LINE-1,58.39,0.731,7.67,1323,12.79,410.7,43.1,79.1,37.0,56.18,F001,OK
2024-01-01 00:03:34,MCH-019,Plant-B,LINE-10,80.7,3.437,7.87,1829,20.45,417.6,75.0,66.9,58.2,40.36,NONE,OK
2024-01-01 00:04:23,MCH-023,Plant-C,LINE-3,103.4,3.136,5.41,1117,11.33,400.1,93.8,68.0,43.2,39.84,NONE,OK
2024-01-01 00:04:33,MCH-011,Plant-A,LINE-8,95.53,4.966,4.78,1304,12.33,402.4,29.5,67.4,66.3,30.76,NONE,OK
2024-01-01 00:05:21,MCH-011,Plant-B,LINE-1,61.36,4.664,7.1,1211,10.65,394.0,71.1,76.9,51.1,45.44,NONE,CRITICAL
2024-01-01 00:05:53,MCH-024,Plant-B,LINE-10,98.94,1.542,7.49,1494,13.5,397.4,50.2,59.7,42.7,51.39,NONE,WARNING
