maintenance_id,machine_id,plant,maintenance_type,component_replaced,scheduled_date,actual_date,downtime_hours,labor_hours,parts_cost_USD,labor_cost_USD,technician_id,priority,status,failure_cause,work_order_id,notes
MNT-000001,MCH-043,Plant-C,Preventive,Coupling,2024-10-17,2024-06-30,3.32,7.75,290.97,124.89,TECH-007,High,Completed,Overload,WO-0000001,Post-incident repair
MNT-000002,MCH-014,Plant-A,Preventive,Belt,2024-03-08,2024-02-03,0.5,1.56,1404.98,168.83,TECH-022,High,Completed,Unknown,WO-0000002,Upgrade
MNT-000003,MCH-029,Plant-A,Preventive,Sensor,2024-02-17,2024-05-21,1.15,0.9,628.52,263.78,TECH-009,Medium,Completed,Corrosion,WO-0000003,Unexpected failure
MNT-000004,MCH-026,Plant-B,Emergency,Sensor,2024-12-23,2024-10-18,7.39,0.5,180.13,107.44,TECH-004,Low,Completed,Misalignment,WO-0000004,Scheduled replacement
MNT-000005,MCH-035,Plant-C,Preventive,Pump,2024-08-27,2024-05-09,1.79,0.5,11.91,86.14,TECH-017,Medium,Completed,Unknown,WO-0000005,Scheduled replacement
MNT-000006,MCH-006,Plant-A,Preventive,Bearing,2024-02-19,2024-01-15,5.63,1.82,183.85,759.92,TECH-030,Low,Completed,Unknown,WO-0000006,Routine check
MNT-000007,MCH-012,Plant-A,Corrective,Bearing,2024-08-21,2024-11-02,4.34,2.48,314.48,71.63,TECH-028,Medium,In Progress,Misalignment,WO-0000007,Scheduled replacement
MNT-000008,MCH-033,Plant-A,Corrective,Valve,2024-06-07,2024-09-08,7.1,0.72,174.3,195.08,TECH-005,High,Completed,Misalignment,WO-0000008,Unexpected failure
MNT-000009,MCH-006,Plant-A,Corrective,Belt,2024-12-16,2024-08-08,4.43,0.99,26.26,247.29,TECH-006,High,Scheduled,Unknown,WO-0000009,Upgrade
MNT-000010,MCH-024,Plant-C,Emergency,Filter,2024-11-25,2024-12-26,0.5,8.06,59.8,576.77,TECH-014,Medium,Completed,Lubrication,WO-0000010,Scheduled replacement
