production_id,date,shift,plant,production_line,machine_id,product_id,planned_units,actual_units,defective_units,scrap_units,cycle_time_sec,oee_pct,availability_pct,performance_pct,quality_pct,raw_material_used_kg,batch_id,operator_id,stoppage_minutes
PRD-000001,2024-07-03,Afternoon,Plant-B,LINE-5,MCH-013,PROD-021,1252,1546,36,13,61.07,81.81,87.78,83.41,93.75,262.0,BATCH-0000001,W-0096,10.4
PRD-000002,2024-04-10,Morning,Plant-B,LINE-6,MCH-022,PROD-019,932,1527,31,30,54.67,75.91,84.09,91.0,93.25,601.45,BATCH-0000002,W-0115,6.3
PRD-000003,2024-07-28,Morning,Plant-B,LINE-2,MCH-028,PROD-001,581,1124,42,15,35.06,86.98,96.29,69.9,99.14,563.54,BATCH-0000003,W-0169,1.4
PRD-000004,2024-10-05,Night,Plant-C,LINE-8,MCH-014,PROD-007,1537,1591,39,23,47.06,95.18,90.69,84.56,99.02,415.33,BATCH-0000004,W-0100,22.6
PRD-000005,2024-10-25,Night,Plant-B,LINE-6,MCH-016,PROD-020,548,612,25,19,39.5,82.06,94.31,82.85,91.46,463.4,BATCH-0000005,W-0035,3.3
PRD-000006,2024-01-16,Afternoon,Plant-C,LINE-6,MCH-040,PROD-011,963,1080,41,16,24.58,51.98,81.71,85.21,95.74,560.54,BATCH-0000006,W-0005,55.4
PRD-000007,2024-01-06,Afternoon,Plant-A,LINE-6,MCH-035,PROD-007,941,838,28,43,48.83,68.22,96.9,84.71,96.41,507.9,BATCH-0000007,W-0169,1.2
PRD-000008,2024-06-22,Morning,Plant-A,LINE-2,MCH-037,PROD-012,622,1830,44,45,34.87,100.0,95.8,86.08,99.34,500.87,BATCH-0000008,W-0017,0.6
PRD-000009,2024-08-26,Afternoon,Plant-C,LINE-8,MCH-014,PROD-023,615,1755,69,12,45.67,57.73,83.09,89.06,99.32,425.98,BATCH-0000009,W-0131,21.6
PRD-000010,2024-08-31,Afternoon,Plant-B,LINE-5,MCH-008,PROD-011,1133,1828,52,7,32.05,67.38,90.29,85.66,97.95,562.62,BATCH-0000010,W-0002,17.3
PRD-000011,2024-11-05,Night,Plant-B,LINE-4,MCH-017,PROD-012,1554,1402,55,12,53.88,83.52,91.49,86.15,98.55,331.62,BATCH-0000011,W-0126,7.1
PRD-000012,2024-06-09,Morning,Plant-A,LINE-1,MCH-036,PROD-017,1899,890,27,38,36.48,81.46,91.03,76.84,95.74,410.46,BATCH-0000012,W-0122,48.2
PRD-000013,2024-01-16,Afternoon,Plant-A,LINE-3,MCH-001,PROD-015,1687,1036,57,20,40.46,75.56,88.59,73.65,96.78,441.96,BATCH-0000013,W-0130,10.6
PRD-000014,2024-01-31,Morning,Plant-B,LINE-6,MCH-009,PROD-008,1965,579,5,29,49.36,67.98,89.77,88.89,99.18,480.99,BATCH-0000014,W-0023,10.0
