inspection_id,timestamp,batch_id,product_id,production_line,inspector_id,inspection_method,sample_size,defects_found,defect_type,dimension_mm,tolerance_upper_mm,tolerance_lower_mm,hardness_HRC,surface_roughness_Ra,weight_g,pass_fail,disposition,cpk,notes
QI-000001,2024-01-01 00:00:21,BATCH-0005230,PROD-021,LINE-5,QI-012,Visual,36,5,Missing Feature,49.7184,50.5,49.5,56.7,0.406,248.74,Pass,Accept,1.69,Needs rework
QI-000002,2024-01-01 00:02:23,BATCH-0007576,PROD-003,LINE-10,QI-012,Laser Scan,60,1,Dimensional,50.4663,50.5,49.5,62.5,2.292,254.11,Pass,Accept,1.621,Needs rework
QI-000003,2024-01-01 00:04:11,BATCH-0001246,PROD-025,LINE-3,QI-006,Ultrasonic,72,11,Scratch,50.0901,50.5,49.5,59.5,1.306,250.57,Pass,Accept,0.942,Critical failure
QI-000004,2024-01-01 00:06:13,BATCH-0001164,PROD-003,LINE-5,QI-003,Visual,72,0,Burr,50.2638,50.5,49.5,62.4,5.215,250.1,Pass,Rework,1.753,Minor deviation
QI-000005,2024-01-01 00:08:10,BATCH-0002914,PROD-025,LINE-2,QI-005,Laser Scan,95,12,NONE,50.1294,50.5,49.5,51.5,1.372,256.66,Pass,Accept,1.827,Within spec
QI-000006,2024-01-01 00:10:14,BATCH-0001364,PROD-013,LINE-3,QI-002,Visual,36,6,Dimensional,50.8575,50.5,49.5,59.9,0.848,256.43,Pass,Rework,1.336,Needs rework
QI-000007,2024-01-01 00:12:04,BATCH-0008562,PROD-009,LINE-3,QI-009,X-Ray,76,3,NONE,50.0675,50.5,49.5,56.0,0.299,249.2,Pass,Accept,1.218,Within spec
QI-000008,2024-01-01 00:14:16,BATCH-0001497,PROD-009,LINE-8,QI-001,X-Ray,77,6,NONE,50.0913,50.5,49.5,64.4,1.694,249.74,Pass,Accept,1.567,Minor deviation
QI-000009,2024-01-01 00:16:18,BATCH-0006277,PROD-012,LINE-5,QI-002,Manual Gauge,59,6,NONE,49.5088,50.5,49.5,51.4,4.205,250.72,Pass,Accept,1.882,OK
QI-000010,2024-01-01 00:18:25,BATCH-0007433,PROD-021,LINE-3,QI-015,Ultrasonic,62,11,Crack,50.0549,50.5,49.5,56.6,0.339,235.74,Pass,Accept,1.569,Needs rework
