record_id,timestamp,plant,production_line,machine_id,electricity_kWh,gas_m3,compressed_air_m3,water_liters,steam_kg,peak_demand_kW,power_factor,reactive_power_kVAR,carbon_kg_CO2e,energy_intensity_kWh_unit,tariff_rate_USD_kWh,energy_cost_USD,shift,operating_mode
ENG-000001,2024-01-01 00:00:11,Plant-B,LINE-6,MCH-034,110.628,16.368,94.32,473.9,229.87,244.9,0.91,19.71,35.289,0.8923,0.1,8.77,Night,Idle
ENG-000002,2024-01-01 01:00:26,Plant-B,LINE-4,MCH-040,136.166,20.521,92.78,563.2,188.06,138.4,0.8674,23.34,63.361,0.8883,0.16,15.35,Morning,Production
ENG-000003,2024-01-01 02:00:21,Plant-B,LINE-2,MCH-018,121.14,23.991,63.34,659.8,55.38,125.93,0.9053,35.29,97.622,1.2862,0.08,12.96,Night,Idle
ENG-000004,2024-01-01 03:00:18,Plant-C,LINE-8,MCH-033,105.981,16.432,99.88,641.7,193.81,215.91,0.9444,33.29,65.564,0.9097,0.1,7.15,Afternoon,Production
ENG-000005,2024-01-01 04:00:27,Plant-C,LINE-3,MCH-014,121.16,5.571,78.8,484.0,252.75,109.42,1.0,24.91,55.462,0.6928,0.1,20.63,Afternoon,Production
ENG-000006,2024-01-01 05:00:10,Plant-C,LINE-6,MCH-029,160.613,15.851,62.07,593.1,180.68,174.6,0.8301,44.57,42.407,1.2225,0.1,27.03,Afternoon,Maintenance
ENG-000007,2024-01-01 06:00:09,Plant-B,LINE-8,MCH-050,107.417,12.239,60.78,356.3,118.3,185.71,0.9588,59.19,48.038,0.9398,0.1,12.72,Afternoon,Maintenance
ENG-000008,2024-01-01 07:00:10,Plant-C,LINE-8,MCH-017,111.475,10.208,87.19,699.6,156.15,163.56,0.8796,44.5,52.97,1.0746,0.13,14.13,Afternoon,Maintenance
ENG-000009,2024-01-01 08:00:30,Plant-B,LINE-8,MCH-048,175.641,21.201,63.49,439.9,250.54,136.1,0.9789,47.44,48.321,0.7627,0.08,7.53,Afternoon,Maintenance
ENG-000010,2024-01-01 09:00:09,Plant-C,LINE-7,MCH-024,111.933,16.317,99.45,498.0,265.23,198.22,0.9375,27.33,77.86,0.7742,0.13,21.21,Afternoon,Maintenance
ENG-000011,2024-01-01 10:00:29,Plant-A,LINE-9,MCH-011,171.833,13.232,47.28,575.7,67.07,177.44,0.8585,19.64,36.296,0.9491,0.08,9.5,Night,Maintenance
ENG-000012,2024-01-01 11:00:23,Plant-A,LINE-10,MCH-036,107.72,19.593,53.29,323.2,147.11,213.67,0.8593,34.0,51.378,0.7826,0.13,21.67,Afternoon,Idle
ENG-000013,2024-01-01 12:00:07,Plant-C,LINE-6,MCH-031,168.687,7.346,100.85,424.8,181.71,126.47,0.9862,43.69,79.036,0.2826,0.16,10.34,Afternoon,Idle
ENG-000014,2024-01-01 13:00:01,Plant-C,LINE-6,MCH-004,140.133,16.476,121.24,754.7,113.22,133.26,0.9663,33.52,61.421,0.6507,0.08,13.12,Afternoon,Production
ENG-000015,2024-01-01 14:00:01,Plant-B,LINE-1,MCH-018,116.841,23.256,88.1,332.6,280.85,174.11,0.9354,29.96,81.81,0.9064,0.13,12.59,Night,Standby
ENG-000016,2024-01-01 15:00:03,Plant-B,LINE-10,MCH-050,139.654,20.412,106.88,753.8,261.12,204.35,0.8799,27.05,44.505,1.1808,0.08,12.67,Afternoon,Production
ENG-000017,2024-01-01 16:00:15,Plant-A,LINE-4,MCH-036,78.775,11.043,68.28,665.3,256.93,198.81,0.8713,26.13,58.187,0.8474,0.08,23.6,Night,Idle
ENG-000018,2024-01-01 17:00:28,Plant-A,LINE-6,MCH-024,156.402,19.217,123.36,403.6,224.07,157.41,0.9033,13.18,45.214,0.8767,0.1,17.77,Night,Production
ENG-000019,2024-01-01 18:00:16,Plant-A,LINE-5,MCH-012,128.09,10.989,107.83,183.8,232.67,252.9,0.9145,56.34,46.388,0.8064,0.16,7.04,Morning,Production
ENG-000020,2024-01-01 19:00:27,Plant-B,LINE-6,MCH-023,122.387,15.648,88.27,165.8,198.33,218.34,0.8386,33.71,70.829,0.8251,0.16,12.55,Morning,Production
ENG-000021,2024-01-01 20:00:08,Plant-A,LINE-2,MCH-023,124.228,10.38,61.67,284.4,189.21,257.87,0.946,41.52,48.244,0.5374,0.08,11.65,Night,Idle
ENG-000022,2024-01-01 21:00:27,Plant-A,LINE-6,MCH-010,104.252,16.261,74.71,384.2,244.77,181.17,0.9645,23.25,57.056,1.0452,0.08,7.55,Night,Standby
ENG-000023,2024-01-01 22:00:12,Plant-B,LINE-7,MCH-035,152.841,15.696,49.6,652.2,195.3,130.86,0.8882,30.64,64.209,1.0314,0.13,17.35,Morning,Production
ENG-000024,2024-01-01 23:00:04,Plant-B,LINE-5,MCH-041,115.538,14.467,99.46,503.3,220.88,215.01,0.9734,48.24,46.134,0.8148,0.1,23.84,Afternoon,Production
ENG-000025,2024-01-02 00:00:20,Plant-B,LINE-1,MCH-002,106.776,14.661,85.96,623.1,253.35,180.89,0.9134,36.23,68.22,1.1577,0.13,16.66,Night,Production
ENG-000026,2024-01-02 01:00:23,Plant-B,LINE-10,MCH-050,110.98,20.168,77.9,592.8,254.98,184.63,0.905,27.62,71.003,1.3197,0.1,26.43,Morning,Idle
ENG-000027,2024-01-02 02:00:27,Plant-B,LINE-6,MCH-048,141.833,14.37,87.84,529.1,274.83,223.74,0.8412,46.05,64.223,0.6887,0.16,20.43,Night,Production
ENG-000028,2024-01-02 03:00:15,Plant-C,LINE-5,MCH-036,80.799,6.347,100.04,715.2,197.58,128.05,0.8522,16.71,55.373,0.8614,0.08,11.43,Morning,Production
ENG-000029,2024-01-02 04:00:23,Plant-C,LINE-10,MCH-037,128.917,18.351,85.65,278.6,71.08,204.43,0.9255,28.05,64.636,0.6065,0.1,6.17,Night,Production
ENG-000030,2024-01-02 05:00:09,Plant-C,LINE-2,MCH-011,122.442,15.944,101.28,487.8,213.21,193.51,0.9031,23.42,51.86,0.4829,0.13,14.12,Afternoon,Production
ENG-000031,2024-01-02 06:00:27,Plant-B,LINE-7,MCH-019,166.731,9.146,54.04,431.3,183.48,206.62,0.9206,35.53,81.77,0.6781,0.16,23.96,Afternoon,Idle
ENG-000032,2024-01-02 07:00:24,Plant-B,LINE-5,MCH-023,110.357,4.426,56.61,502.4,369.31,200.1,0.9862,27.64,84.659,0.723,0.1,24.81,Night,Production
ENG-000033,2024-01-02 08:00:20,Plant-C,LINE-2,MCH-045,105.585,15.907,72.9,615.6,236.0,189.11,0.893,45.71,49.203,0.4579,0.13,17.58,Night,Production
ENG-000034,2024-01-02 09:00:22,Plant-A,LINE-9,MCH-011,215.225,19.51,96.93,474.9,127.67,171.19,0.9979,27.98,61.618,0.9934,0.16,20.66,Afternoon,Production
ENG-000035,2024-01-02 10:00:05,Plant-B,LINE-1,MCH-014,122.168,9.256,108.29,662.3,203.68,193.01,0.8916,19.37,74.486,0.6388,0.08,20.02,Morning,Production
ENG-000036,2024-01-02 11:00:25,Plant-B,LINE-4,MCH-008,143.511,20.276,93.71,342.8,269.39,159.39,0.9616,14.12,61.897,0.808,0.1,14.9,Afternoon,Idle
ENG-000037,2024-01-02 12:00:26,Plant-A,LINE-3,MCH-005,103.983,12.587,108.26,779.1,117.94,122.17,0.9686,27.21,65.654,0.9839,0.08,22.94,Night,Production
ENG-000038,2024-01-02 13:00:00,Plant-C,LINE-5,MCH-047,160.3,7.429,79.57,374.6,205.91,231.74,0.8854,28.78,47.233,0.7684,0.16,23.48,Morning,Production
ENG-000039,2024-01-02 14:00:29,Plant-A,LINE-7,MCH-040,115.069,14.541,92.4,361.8,198.22,159.9,0.9265,23.7,66.988,0.8266,0.08,11.88,Afternoon,Standby
ENG-000040,2024-01-02 15:00:20,Plant-B,LINE-8,MCH-018,93.749,17.648,113.88,433.8,233.93,162.83,0.9099,35.33,39.05,0.9893,0.16,10.73,Afternoon,Production
ENG-000041,2024-01-02 16:00:10,Plant-A,LINE-9,MCH-040,103.729,8.485,84.16,548.5,203.97,223.8,0.8789,30.43,84.118,1.1467,0.16,14.16,Afternoon,Production
ENG-000042,2024-01-02 17:00:05,Plant-C,LINE-4,MCH-002,127.452,17.591,83.45,543.5,376.89,84.54,0.8511,40.29,58.581,0.8712,0.08,10.32,Afternoon,Idle
ENG-000043,2024-01-02 18:00:26,Plant-B,LINE-4,MCH-003,50.276,16.239,104.98,353.2,186.53,108.12,1.0,33.13,93.07,0.842,0.08,15.76,Night,Maintenance
ENG-000044,2024-01-02 19:00:22,Plant-A,LINE-1,MCH-020,76.666,11.235,62.5,455.8,221.19,229.65,0.9576,26.86,74.56,1.1474,0.16,15.51,Afternoon,Production
