order_id,order_date,supplier_id,material_id,material_category,plant,warehouse_id,ordered_qty,received_qty,unit_price_USD,total_cost_USD,lead_time_days,actual_delivery_days,on_time_delivery,quality_rating,stock_level_units,reorder_point,inventory_turnover,transport_mode,status
PO-0000001,2024-08-29,SUP-026,MAT-008,Packaging,Plant-A,WH-10,4206,204,56.04,70761.89,71,28,Yes,4.89,1380,704,7.62,Air,Pending
PO-0000002,2024-06-06,SUP-024,MAT-023,Component,Plant-C,WH-10,2524,2284,6.54,173759.84,74,7,Yes,4.99,1182,549,11.92,Air,Delivered
PO-0000003,2024-12-13,SUP-007,MAT-022,Spare Part,Plant-A,WH-01,2025,1244,26.85,5642.92,89,66,Yes,3.18,3195,699,6.21,Rail,Delivered
PO-0000004,2024-06-06,SUP-013,MAT-029,Component,Plant-B,WH-09,2460,2603,6.9,5404.53,80,73,Yes,4.26,152,625,9.25,Truck,Delivered
PO-0000005,2024-07-30,SUP-010,MAT-034,Consumable,Plant-B,WH-05,1802,4531,38.11,42282.15,78,38,Yes,4.4,3063,642,11.79,Truck,Delivered
PO-0000006,2024-10-25,SUP-005,MAT-052,Raw Material,Plant-B,WH-04,3500,680,41.6,27878.52,42,72,Yes,4.27,5059,326,8.84,Truck,Delivered
PO-0000007,2024-09-06,SUP-008,MAT-007,Consumable,Plant-A,WH-06,1716,1282,42.52,70169.71,67,40,Yes,3.85,686,465,9.47,Ship,Delivered
PO-0000008,2024-01-21,SUP-039,MAT-013,Consumable,Plant-C,WH-04,985,1771,65.61,95080.6,69,40,Yes,4.1,9115,195,9.5,Truck,Pending
PO-0000009,2024-09-06,SUP-039,MAT-030,Packaging,Plant-C,WH-07,1996,2546,91.11,138225.58,10,35,Yes,4.56,6357,909,10.94,Truck,In Transit
PO-0000010,2024-02-28,SUP-006,MAT-009,Component,Plant-B,WH-03,3859,1215,33.82,287183.93,34,28,No,3.05,1116,600,8.33,Air,Delivered
PO-0000011,2024-02-27,SUP-034,MAT-020,Packaging,Plant-A,WH-02,4500,379,92.65,231481.3,4,55,Yes,3.51,7281,801,7.21,Ship,Delivered
PO-0000012,2024-11-05,SUP-012,MAT-016,Packaging,Plant-A,WH-08,2144,243,20.87,18393.39,57,59,Yes,4.56,6636,515,7.49,Ship,Delivered
PO-0000013,2024-09-26,SUP-008,MAT-022,Consumable,Plant-B,WH-04,2637,4001,17.86,144429.99,3,99,Yes,4.91,8219,148,8.28,Ship,Delivered
PO-0000014,2024-10-23,SUP-015,MAT-033,Consumable,Plant-A,WH-03,412,1223,1.61,485102.91,23,7,Yes,3.93,2949,370,8.39,Truck,Pending
PO-0000015,2024-06-18,SUP-024,MAT-058,Spare Part,Plant-B,WH-07,3979,2954,1.82,210753.45,5,97,Yes,4.69,4515,848,6.24,Air,Pending
PO-0000016,2024-02-04,SUP-039,MAT-004,Raw Material,Plant-C,WH-05,3624,827,73.18,12957.19,17,13,Yes,4.25,7654,756,8.12,Truck,Cancelled
PO-0000017,2024-02-26,SUP-038,MAT-041,Spare Part,Plant-B,WH-10,4094,2482,50.95,12830.91,74,12,Yes,4.0,7069,481,6.88,Rail,Delivered
PO-0000018,2024-03-01,SUP-024,MAT-018,Raw Material,Plant-B,WH-06,3392,4662,68.2,19790.38,16,25,Yes,4.15,2911,646,6.83,Truck,Cancelled
PO-0000019,2024-07-08,SUP-016,MAT-053,Raw Material,Plant-B,WH-07,3793,1237,39.82,137889.56,47,3,Yes,4.28,5045,633,7.2,Ship,Delivered
PO-0000020,2024-09-09,SUP-008,MAT-054,Component,Plant-A,WH-10,2565,1639,9.27,164277.18,51,95,Yes,4.77,6532,913,11.11,Truck,Delivered
PO-0000021,2024-10-06,SUP-001,MAT-047,Spare Part,Plant-C,WH-05,1044,153,116.05,11896.85,79,77,Yes,3.46,9086,119,8.69,Rail,Delivered
PO-0000022,2024-08-20,SUP-005,MAT-047,Packaging,Plant-A,WH-02,2188,3054,26.54,208008.76,15,71,Yes,3.2,2760,534,7.73,Ship,Delivered
PO-0000023,2024-03-06,SUP-026,MAT-009,Component,Plant-C,WH-08,2939,1039,19.08,94773.81,32,84,Yes,3.99,2189,269,6.99,Truck,Delivered
PO-0000024,2024-05-02,SUP-004,MAT-003,Consumable,Plant-C,WH-07,215,290,247.53,176909.8,28,4,No,4.21,9227,335,8.46,Truck,Delivered
PO-0000025,2024-10-25,SUP-012,MAT-038,Packaging,Plant-A,WH-01,2505,2421,26.63,325292.77,66,31,Yes,3.09,2121,513,9.65,Rail,Delivered
PO-0000026,2024-01-31,SUP-026,MAT-016,Consumable,Plant-C,WH-09,2505,2506,57.99,248256.86,42,93,No,4.51,8896,227,7.66,Truck,Delivered
