record_id,date,shift,plant,department,worker_id,worker_experience_years,incident_type,hazard_type,severity,lost_days,ppe_worn,training_completed,noise_level_dB,heat_stress_index,air_quality_AQI,ergonomic_risk_score,near_miss_count,corrective_action,root_cause
SAF-000001,2024-01-08,Morning,Plant-C,Assembly,W-0158,1.1,No Incident,Caught In,None,0,Full,Yes,73.0,32.9,71,3.3,0,None,N/A
SAF-000002,2024-05-03,Afternoon,Plant-A,Machining,W-0097,6.4,No Incident,None,None,0,Full,Yes,90.5,30.1,123,8.1,3,Training,N/A
SAF-000003,2024-02-23,Morning,Plant-A,Welding,W-0179,2.6,No Incident,None,High,0,Full,Yes,69.3,10.0,81,6.6,0,Equipment Fix,N/A
SAF-000004,2024-06-13,Afternoon,Plant-C,Logistics,W-0193,13.5,No Incident,None,None,0,Full,Yes,67.9,21.0,139,1.4,2,None,Procedural
SAF-000005,2024-09-03,Afternoon,Plant-C,Machining,W-0037,3.7,No Incident,Ergonomic,None,0,Partial,No,77.3,33.4,133,8.1,2,None,Human Error
SAF-000006,2024-10-28,Afternoon,Plant-B,Welding,W-0121,0.7,No Incident,Caught In,None,0,Full,Yes,75.6,25.1,107,4.4,4,None,Environmental
SAF-000007,2024-10-30,Afternoon,Plant-C,Maintenance,W-0112,8.6,No Incident,None,None,27,Full,Yes,76.5,31.3,157,1.1,0,Equipment Fix,N/A
SAF-000008,2024-09-09,Morning,Plant-B,Logistics,W-0012,5.0,No Incident,None,Low,0,Full,Yes,73.1,22.1,175,7.2,0,None,N/A
SAF-000009,2024-01-05,Morning,Plant-B,Quality,W-0115,30.0,No Incident,Chemical,None,16,Partial,Yes,72.2,29.8,142,2.8,0,Procedure Update,Environmental
SAF-000010,2024-07-26,Afternoon,Plant-A,Machining,W-0029,0.3,No Incident,None,Low,0,Full,Yes,70.3,21.3,61,9.0,4,Training,N/A
SAF-000011,2024-06-26,Morning,Plant-C,Welding,W-0161,0.4,No Incident,Struck By,None,0,Full,Yes,74.3,21.3,43,9.2,3,Procedure Update,N/A
SAF-000012,2024-10-12,Morning,Plant-C,Packaging,W-0193,1.0,No Incident,None,None,0,Full,Yes,81.3,35.0,80,9.6,4,Training,Procedural
SAF-000013,2024-02-03,Morning,Plant-C,Quality,W-0168,0.7,No Incident,Thermal,None,0,Full,Yes,63.0,27.1,62,3.6,3,Training,N/A
SAF-000014,2024-02-22,Afternoon,Plant-A,Quality,W-0021,7.0,No Incident,None,None,1,Full,Yes,57.9,31.1,113,9.9,3,Training,Procedural
SAF-000015,2024-03-08,Night,Plant-B,Welding,W-0159,0.5,No Incident,None,None,0,Full,Yes,64.8,14.3,28,7.5,3,PPE Upgrade,Equipment Failure
SAF-000016,2024-05-22,Morning,Plant-A,Packaging,W-0104,9.4,No Incident,None,None,0,Full,Yes,73.0,23.1,80,7.0,1,Procedure Update,N/A
SAF-000017,2024-07-07,Afternoon,Plant-A,Quality,W-0076,3.6,No Incident,Noise,Critical,0,Full,Yes,74.9,36.9,181,1.5,3,None,Equipment Failure
SAF-000018,2024-01-30,Night,Plant-C,Assembly,W-0012,11.0,No Incident,None,None,0,Partial,Yes,64.9,32.0,92,1.2,3,None,N/A
SAF-000019,2024-08-30,Night,Plant-A,Welding,W-0027,13.7,No Incident,Ergonomic,None,27,Full,Yes,59.2,27.1,102,7.8,2,None,N/A
SAF-000020,2024-08-12,Afternoon,Plant-C,Packaging,W-0043,4.7,No Incident,None,None,0,Full,Yes,80.6,23.3,184,2.3,3,Procedure Update,N/A
SAF-000021,2024-10-08,Afternoon,Plant-A,Packaging,W-0031,3.1,No Incident,None,None,6,Full,Yes,79.6,22.9,184,2.8,4,Equipment Fix,N/A
SAF-000022,2024-04-29,Night,Plant-B,Quality,W-0028,4.2,No Incident,Ergonomic,None,0,Full,Yes,79.1,29.9,175,7.9,1,Training,N/A
SAF-000023,2024-08-11,Morning,Plant-B,Packaging,W-0191,10.3,No Incident,None,None,0,Full,Yes,69.0,32.2,159,2.1,0,None,Human Error
SAF-000024,2024-04-24,Night,Plant-C,Machining,W-0137,3.3,No Incident,Thermal,Medium,21,Full,No,76.5,21.3,143,5.8,3,Training,N/A
SAF-000025,2024-06-16,Night,Plant-B,Maintenance,W-0007,0.1,No Incident,Electrical,None,0,Full,Yes,81.5,27.7,151,6.9,0,PPE Upgrade,Equipment Failure
SAF-000026,2024-01-22,Night,Plant-C,Assembly,W-0049,1.5,No Incident,Fall,None,0,Full,Yes,75.7,23.6,156,2.7,2,None,N/A
SAF-000027,2024-12-11,Morning,Plant-A,Maintenance,W-0034,7.9,No Incident,Chemical,None,0,Full,Yes,72.6,32.1,21,4.3,1,Procedure Update,N/A
SAF-000028,2024-11-15,Morning,Plant-B,Logistics,W-0033,1.9,No Incident,None,High,0,Full,Yes,75.9,29.5,78,9.9,4,Procedure Update,N/A
SAF-000029,2024-08-03,Night,Plant-B,Packaging,W-0132,4.6,First Aid,None,None,0,Partial,Yes,69.3,22.5,53,9.5,0,Equipment Fix,N/A
SAF-000030,2024-09-18,Morning,Plant-C,Quality,W-0005,5.6,No Incident,Struck By,None,27,Full,Yes,72.0,15.1,22,1.6,1,Procedure Update,N/A
SAF-000031,2024-01-25,Morning,Plant-C,Assembly,W-0007,3.0,No Incident,Fall,High,0,Full,Yes,79.1,38.4,41,1.3,2,None,N/A
SAF-000032,2024-02-22,Afternoon,Plant-B,Logistics,W-0165,2.0,No Incident,None,None,0,Full,Yes,88.1,27.8,133,7.6,4,PPE Upgrade,Environmental
SAF-000033,2024-10-18,Night,Plant-B,Logistics,W-0155,0.1,No Incident,Struck By,Medium,27,None,Yes,61.2,41.7,182,9.0,0,Training,N/A
SAF-000034,2024-03-12,Night,Plant-C,Welding,W-0008,8.6,First Aid,None,None,0,Full,No,66.0,32.1,48,1.4,0,Equipment Fix,Equipment Failure
SAF-000035,2024-03-15,Afternoon,Plant-A,Assembly,W-0024,0.0,Environmental,Ergonomic,None,0,Full,Yes,87.7,16.2,182,3.4,4,Training,N/A
SAF-000036,2024-08-23,Afternoon,Plant-A,Packaging,W-0181,5.6,No Incident,Chemical,None,15,Full,Yes,67.9,25.0,184,5.0,1,Equipment Fix,N/A
SAF-000037,2024-03-02,Night,Plant-A,Logistics,W-0134,3.2,No Incident,Fall,None,6,Partial,Yes,88.8,35.0,72,7.8,0,None,Human Error
SAF-000038,2024-08-02,Night,Plant-C,Logistics,W-0192,1.5,No Incident,Struck By,None,0,Partial,Yes,71.1,28.6,128,5.8,4,Training,Environmental
SAF-000039,2024-07-31,Night,Plant-B,Welding,W-0001,4.4,No Incident,Caught In,None,0,Full,Yes,81.3,23.0,179,5.5,4,None,N/A
SAF-000040,2024-03-28,Afternoon,Plant-C,Assembly,W-0107,0.1,Near Miss,None,None,0,Full,Yes,79.4,22.9,22,2.2,4,Procedure Update,N/A
SAF-000041,2024-04-15,Afternoon,Plant-C,Assembly,W-0174,3.2,No Incident,None,Medium,0,Full,Yes,84.6,32.2,114,7.8,2,None,Human Error
SAF-000042,2024-11-06,Afternoon,Plant-A,Assembly,W-0051,0.4,Near Miss,None,None,0,Full,Yes,83.2,26.3,124,6.5,3,None,N/A
SAF-000043,2024-11-26,Afternoon,Plant-A,Packaging,W-0184,0.9,No Incident,Electrical,None,0,Partial,Yes,73.6,23.8,67,1.9,4,None,N/A
SAF-000044,2024-04-27,Morning,Plant-B,Painting,W-0189,3.9,No Incident,None,None,0,Full,Yes,72.2,31.0,108,8.6,4,Equipment Fix,N/A
SAF-000045,2024-07-02,Afternoon,Plant-B,Logistics,W-0001,4.4,No Incident,Thermal,None,0,Full,Yes,89.3,29.1,143,8.5,2,Training,N/A
SAF-000046,2024-04-02,Night,Plant-C,Quality,W-0192,12.9,Near Miss,None,None,4,Full,Yes,63.6,27.5,41,3.6,4,Training,Human Error
