log_id,timestamp,machine_id,plant,production_line,event_type,event_category,severity_level,operator_id,shift,parameter_name,old_value,new_value,response_time_ms,duration_sec,alarm_code,acknowledged,system_component,session_id,message
LOG-0000001,2024-01-01 00:00:14,MCH-016,Plant-A,LINE-4,Alarm Cleared,System,DEBUG,W-0111,Afternoon,Voltage,310.22,14.89,296.9,340.6,NONE,N/A,Sensor,SES-00346,Firmware update
LOG-0000002,2024-01-01 00:01:43,MCH-021,Plant-A,LINE-4,Info,System,WARNING,W-0032,Morning,N/A,575.85,778.16,238.0,385.6,NONE,N/A,Drive,SES-00266,Backup completed
LOG-0000003,2024-01-01 00:03:27,MCH-030,Plant-A,LINE-7,Alarm Triggered,Alert,ERROR,W-0175,Afternoon,Temperature,37.13,775.59,382.5,375.3,NONE,N/A,Drive,SES-00198,Sync successful
LOG-0000004,2024-01-01 00:04:59,MCH-038,Plant-C,LINE-9,Alarm Cleared,Operational,WARNING,W-0070,Night,Temperature,41.96,243.7,297.6,345.1,NONE,N/A,HMI,SES-00084,Firmware update
LOG-0000005,2024-01-01 00:06:30,MCH-028,Plant-B,LINE-6,Shift Change,User,INFO,W-0039,Morning,Voltage,117.09,117.13,256.5,854.4,A003,Yes,Drive,SES-00312,Sync successful
LOG-0000006,2024-01-01 00:07:52,MCH-035,Plant-C,LINE-7,Alarm Cleared,User,INFO,W-0171,Afternoon,Pressure,701.15,907.08,150.2,61.7,A001,Yes,Database,SES-00423,Connection timeout
LOG-0000007,2024-01-01 00:09:27,MCH-019,Plant-C,LINE-4,Error,User,INFO,W-0179,Morning,Current,30.43,868.62,112.5,20.8,A001,Yes,Drive,SES-00343,Threshold exceeded
LOG-0000008,2024-01-01 00:10:32,MCH-041,Plant-C,LINE-3,Job End,System,INFO,W-0085,Night,Voltage,483.19,565.39,127.9,56.1,NONE,No,Database,SES-00367,Auto mode activated
LOG-0000009,2024-01-01 00:12:18,MCH-015,Plant-B,LINE-10,Alarm Triggered,Operational,INFO,W-0175,Afternoon,Flow,742.77,197.65,162.7,328.6,NONE,No,HMI,SES-00250,Backup completed
LOG-0000010,2024-01-01 00:13:51,MCH-043,Plant-C,LINE-2,Parameter Change,Operational,INFO,W-0161,Morning,Speed,491.73,870.99,91.9,347.5,A005,N/A,Actuator,SES-00261,Backup completed
LOG-0000011,2024-01-01 00:15:19,MCH-034,Plant-C,LINE-6,Shift Change,System,INFO,W-0050,Afternoon,Pressure,286.6,413.89,120.0,184.3,NONE,N/A,SCADA,SES-00429,Connection timeout
LOG-0000012,2024-01-01 00:16:53,MCH-006,Plant-B,LINE-2,Shift Change,System,WARNING,W-0191,Morning,Flow,556.32,650.98,316.4,196.0,NONE,N/A,PLC,SES-00097,Manual override
LOG-0000013,2024-01-01 00:18:01,MCH-010,Plant-B,LINE-1,Machine Stop,Operational,ERROR,W-0149,Night,Voltage,90.44,561.75,243.8,75.7,NONE,Yes,SCADA,SES-00068,Firmware update
LOG-0000014,2024-01-01 00:19:37,MCH-001,Plant-A,LINE-2,Logout,System,INFO,W-0082,Afternoon,Temperature,252.75,97.56,179.6,531.9,W001,Yes,PLC,SES-00327,Normal operation
LOG-0000015,2024-01-01 00:21:14,MCH-040,Plant-A,LINE-10,Logout,Operational,INFO,W-0192,Afternoon,N/A,36.71,805.21,145.7,42.5,NONE,N/A,SCADA,SES-00259,Connection timeout
LOG-0000016,2024-01-01 00:23:00,MCH-023,Plant-C,LINE-3,Maintenance Start,Process,DEBUG,W-0103,Night,Pressure,83.16,767.1,108.8,296.1,NONE,Yes,Sensor,SES-00454,Firmware update
LOG-0000017,2024-01-01 00:24:15,MCH-036,Plant-C,LINE-3,Job Start,Process,ERROR,W-0117,Morning,Speed,895.97,430.88,82.7,423.4,NONE,N/A,Sensor,SES-00147,Firmware update
LOG-0000018,2024-01-01 00:25:44,MCH-017,Plant-C,LINE-7,Alarm Cleared,Process,DEBUG,W-0079,Night,Torque,835.9,104.15,108.1,258.1,A004,No,Actuator,SES-00166,Threshold exceeded
LOG-0000019,2024-01-01 00:27:07,MCH-030,Plant-C,LINE-2,Parameter Change,Alert,ERROR,W-0194,Afternoon,Voltage,266.59,515.64,244.2,145.7,NONE,N/A,PLC,SES-00099,Connection timeout
LOG-0000020,2024-01-01 00:28:32,MCH-010,Plant-B,LINE-2,Login,System,INFO,W-0183,Night,Speed,731.9,754.47,127.4,680.2,A005,N/A,SCADA,SES-00267,Threshold exceeded
LOG-0000021,2024-01-01 00:30:03,MCH-044,Plant-B,LINE-10,Alarm Triggered,Operational,ERROR,W-0182,Night,Speed,407.74,53.67,106.4,79.1,NONE,Yes,HMI,SES-00060,Manual override
LOG-0000022,2024-01-01 00:31:30,MCH-021,Plant-B,LINE-5,Maintenance End,Alert,CRITICAL,W-0177,Night,Pressure,633.01,622.9,134.8,1920.7,NONE,Yes,Sensor,SES-00388,Setpoint changed
LOG-0000023,2024-01-01 00:33:25,MCH-013,Plant-C,LINE-6,Error,User,WARNING,W-0028,Afternoon,Speed,729.0,799.45,180.4,407.8,NONE,No,PLC,SES-00085,Firmware update
LOG-0000024,2024-01-01 00:34:35,MCH-046,Plant-A,LINE-10,Alarm Triggered,Alert,ERROR,W-0090,Morning,Temperature,149.61,377.69,323.3,402.0,W002,N/A,SCADA,SES-00392,Backup completed
LOG-0000025,2024-01-01 00:36:26,MCH-038,Plant-B,LINE-2,Warning,System,INFO,W-0120,Morning,Pressure,310.28,31.37,161.0,217.1,W001,N/A,HMI,SES-00293,Normal operation
LOG-0000026,2024-01-01 00:37:56,MCH-050,Plant-B,LINE-7,Job Start,System,INFO,W-0180,Afternoon,Speed,210.3,816.46,501.8,362.3,NONE,N/A,HMI,SES-00379,Firmware update
LOG-0000027,2024-01-01 00:39:10,MCH-013,Plant-B,LINE-9,Machine Start,Alert,INFO,W-0145,Night,Voltage,413.07,494.87,162.4,526.2,NONE,N/A,Sensor,SES-00064,Setpoint changed
LOG-0000028,2024-01-01 00:40:52,MCH-041,Plant-B,LINE-1,Parameter Change,User,INFO,W-0179,Afternoon,Speed,402.92,220.59,615.5,737.5,A005,N/A,Drive,SES-00464,Connection timeout
LOG-0000029,2024-01-01 00:42:25,MCH-020,Plant-B,LINE-6,Maintenance End,System,INFO,W-0131,Afternoon,Speed,737.1,625.06,21.6,1.0,NONE,Yes,HMI,SES-00322,Calibration required
LOG-0000030,2024-01-01 00:43:36,MCH-049,Plant-B,LINE-1,Alarm Triggered,Process,INFO,W-0052,Morning,Flow,984.86,968.4,47.5,39.9,NONE,Yes,HMI,SES-00223,Manual override
LOG-0000031,2024-01-01 00:45:25,MCH-029,Plant-A,LINE-1,Machine Start,User,DEBUG,W-0113,Morning,Flow,290.57,111.87,219.3,28.4,E001,Yes,PLC,SES-00223,Calibration required
LOG-0000032,2024-01-01 00:46:44,MCH-020,Plant-B,LINE-5,Shift Change,Alert,INFO,W-0187,Night,Torque,75.94,181.73,444.0,102.2,NONE,Yes,PLC,SES-00414,Sync successful
LOG-0000033,2024-01-01 00:48:21,MCH-004,Plant-C,LINE-2,Alarm Triggered,User,INFO,W-0129,Night,Flow,650.88,515.95,174.7,440.1,NONE,N/A,Network,SES-00030,Manual override
